,code,Frequency_across_Pubmed,Title
50,C0017601,38403,Unspecified glaucoma
51,C0023467,37871,"Myeloid leukemia, acute"
52,C0042029,37335,"Urinary tract infection, site not specified"
53,C0020538,37116,"Complications affecting other specified body systems, not elsewhere classified, hypertension"
54,C0160420,35911,Injury to kidney
55,C0019189,35583,"Chronic hepatitis, unspecified"
56,C0014852,33907,Diseases of esophagus
57,C0003962,33766,Ascites
58,C0009324,33226,"Ulcerative colitis, unspecified"
59,C0041327,33148,Unspecified pulmonary tuberculosis
60,C0020461,32783,Hyperpotassemia
61,C0002962,31896,Angina pectoris
62,C0040128,31167,DISORDERS OF THYROID GLAND
63,C0003578,31016,Apnea
64,C0033774,31006,Unspecified pruritic disorder
65,C0004610,30237,Bacteremia
66,C0494165,29985,"Malignant neoplasm of liver, secondary"
67,C0029408,29794,"Osteoarthrosis, unspecified whether generalized or localized"
68,C0008031,29509,Chest pain NOS
69,C0160390,29256,Injury to liver
70,C0023449,29249,"Lymphoid leukemia, acute"
71,C0022660,28860,Acute kidney failure NOS
72,C0149931,28744,"Migraine, unspecified"
73,C0019348,28503,Herpes simplex
74,C0020676,27629,Hypothyroidism NOS
75,C0006118,27603,Brain neoplasm NOS
76,C0011168,27343,Dysphagia NOS
77,C0004153,26664,Atherosclerosis
78,C0041318,26609,TB meningitis-unspec
79,C0005779,26186,Coagulation defects
80,C0039070,26065,Syncope and collapse
81,C0348801,26024,"Pneumonia due to Streptococcus, group B"
82,C0020626,25650,Hypoparathyroidism
83,C0024031,25442,Lumbago
84,C0520679,25139,Obstructive sleep apnea
85,C0023434,25100,"Lymphoid leukemia, chronic"
86,C0018674,24880,Head injury NOS
87,C0019360,24506,Herpes zoster
88,C0009759,24329,Disorders of conjunctiva
89,C0017168,23982,Esophageal reflux
90,C0413252,23911,Hypothermia
91,C0086692,23763,BENIGN NEOPLASMS
92,C0014175,23596,Endometriosis
93,C0153676,23412,Secondary malignant neoplasm of lung
94,C0155862,23166,Pneumococcal pneumonia
95,C0011175,22851,Dehydration
96,C0006386,22372,Bunion
97,C0036983,21454,Septic shock
98,C0700292,21096,Hypoxemia
99,C0152097,21047,Disorders of diaphragm
100,C0026946,21037,MYCOSES
101,C0033975,20888,Psychosis NOS
102,C0007820,20554,CEREBROVASCULAR DISEASE
103,C0009806,19760,Constipation NOS
104,C0085580,19460,Hypertension NOS
105,C1561643,19436,Chronic kidney disease (CKD)
106,C4282165,19011,Enlargement of lymph nodes
107,C0001339,18926,Acute pancreatitis
108,C0001621,18918,Disorders of adrenal glands
109,C2937358,18880,Intracerebral hemorrhage
110,C0023473,18620,"Myeloid leukemia, chronic"
111,C1140680,18500,Malignant neoplasm of ovary
112,C0036421,18359,Systemic sclerosis
113,C4721453,18314,DISORDERS OF THE PERIPHERAL NERVOUS SYSTEM
114,C0018802,18301,CHF NOS
115,C0011881,18094,Diabetes with renal manifestations
116,C0038525,17953,Subarachnoid hemorrhage
117,C0036202,17698,Sarcoidosis
118,C0153452,17600,Malignant neoplasm of gallbladder
119,C0002895,17339,"Sickle-cell disease, unspecified"
120,C0153690,17188,Secondary malignant neoplasm of bone and bone marrow
121,C1704272,16770,Hypertrophy (benign) of prostate
122,C0030517,16118,Disorders of parathyroid gland
123,C0085762,15858,"Alcohol abuse, unspecified"
124,C0003862,15799,"Pain in joint, site unspecified"
125,C0030567,15732,Paralysis agitans
126,C0027498,15691,Nausea with vomiting
127,C0243026,15544,Sepsis
128,C0018916,14732,Hemangioma of unspecified site
129,C0020437,14515,Hypercalcemia
130,C0151699,14496,Unspecified intracranial hemorrhage
131,C0001973,14000,Alcohol dependence syndrome
132,C0007099,13928,CARCINOMA IN SITU
133,C0030920,13804,"Peptic ulcer, site unspecified"
134,C0024198,13526,Lyme Disease
135,C0020645,13403,Hyposmolality and/or hyponatremia
136,C0017181,13253,Gastrointest hemorr NOS
137,C0042133,13140,Uterine leiomyoma NOS
138,C0019829,12923,Hodgkin's paragranuloma
139,C0018939,12922,DISEASES OF THE BLOOD AND BLOOD-FORMING ORGANS
140,C0003873,12872,Rheumatoid arthritis
141,C0002965,12807,Intermediate coronary syndrome
142,C0149521,12787,Chronic pancreatitis
143,C0004155,12719,Atherosclerosis of other specified arteries
144,C0178324,12630,INJURY TO BLOOD VESSELS
145,C0039128,12624,Syphilis NOS
146,C0038013,12262,Ankylosing spondylitis
147,C0014116,12213,"Endocardial cushion defect, unspecified type"
148,C1527169,11817,Donors
149,C0021400,11478,Influenza
150,C0160681,11387,Injury to common carotid artery
151,C0161544,11383,Poisoning by salicylates
152,C0003125,11334,Anorexia nervosa
153,C0008370,11208,Obstruction of bile duct
154,C0340643,11182,"Dissection of aorta, unspecified site"
155,C0036980,11156,Cardiogenic shock
156,C0042109,11133,"Urticaria, unspecified"
157,C0030846,11027,Unspecified disorder of penis
158,C0018021,10958,Goiter NOS
159,C0028756,10955,Morbid obesity
160,C0020598,10825,Hypocalcemia
161,C0206754,10818,NEUROENDOCRINE TUMORS
162,C0085096,10802,"Peripheral vascular disease, unspecified"
163,C0007859,10485,Cervicalgia
164,C0008626,10418,Chromosomal anomalies
165,C0028790,10416,"Cerebral artery occlusion, unspecified"
166,C0003537,10241,Aphasia
167,C0018946,10188,Subdural hemorrhage
168,C0010414,10066,Cryptococcosis
169,C0004245,10043,"Atrioventricular block, unspecified"
170,C0027868,10014,Myoneural disorders NOS
171,C0008049,9841,Chickenpox
172,C0019079,9810,Hemoptysis
173,C0030312,9779,Pancytopenia
174,C1535939,9281,Pneumocystosis
175,C0012739,9194,Defibrination syndrome
176,C0149516,9149,Chronic sinusitis NOS
177,C0600327,9064,Toxic shock syndrome
178,C0274669,9046,Poisoning by monoamine oxidase inhibitors
179,C0021345,9009,Infectious mononucleosis
180,C0008311,8963,Cholangitis
181,C0003872,8861,Psoriatic arthropathy
182,C0003615,8835,APPENDICITIS
183,C0013371,8713,Shigellosis
184,C0546817,8693,Fluid overload
185,C0008350,8638,Cholelithiasis
186,C0151517,8635,"Atrioventricular block, complete"
187,C0018099,8571,"Gout, unspecified"
188,C0039231,8508,Tachycardia NOS
189,C0037317,8442,"Sleep disturbance, unspecified"
190,C0342257,8398,Diabetes with unspecified complication
191,C0878544,8365,Cardiomyopathy
192,C0221002,8261,Primary hyperparathyroidism
193,C0014868,8259,"Esophagitis, unspecified"
194,C0155877,8216,Extrinsic asthma
195,C0080274,8098,Retention urine NOS
196,C0006267,8072,Bronchiectasis
197,C0006107,8031,Concussion NOS
198,C0023470,8002,Myeloid leukemia
199,C0004144,7952,Pulmonary collapse
200,C0011127,7946,Pressure ulcer
201,C0005586,7856,Bipolar disorder NOS
202,C0546884,7680,Volume depletion
203,C0023798,7665,"Lipoma, unspecified site"
204,C0085315,7594,Meningoencephalitis due to toxoplasmosis
205,C0004763,7557,Barrett's esophagus
206,C0023524,7359,Progressive multifocal leukoencephalopathy
207,C0022680,7291,Polycystic kidney NOS
208,C0018818,7286,Ventricular septal defect
209,C0085693,7259,Acute appendicitis
210,C0024535,7251,Falciparum malaria
211,C0033677,7216,Unspecified protein-calorie malnutrition
212,C0497327,7137,"Dementia, unspecified"
213,C0151744,7117,ISCHEMIC HEART DISEASE
214,C0184567,7089,Acute pain
215,C0006114,7024,Cerebral edema
216,C0013080,6999,Down's syndrome
217,C0405580,6989,Corticoadrenal insufficiency
218,C0161558,6984,Poisoning by barbiturates
219,C0273463,6914,Injury to superior mesenteric artery (trunk)
220,C0024301,6884,Nodular lymphoma
221,C0013221,6862,Poisoning by unspecified drug or medicinal substance
222,C0010481,6806,Cushing's syndrome
223,C0007570,6681,Celiac disease
224,C0023892,6661,Biliary cirrhosis
225,C0014591,6621,Epistaxis
226,C0039685,6612,Tetralogy of fallot
227,C0019294,6595,Inguinal hernia
228,C0027430,6448,Polyp of nasal cavity
229,C0011269,6429,Vascular dementia
230,C0004030,6365,Aspergillosis
231,C0003492,6359,Coarctation of aorta
232,C0019554,6351,Dislocation of hip
233,C0024623,6325,"Malignant neoplasm of stomach, unspecified site"
234,C0264490,6290,Acute respiratory failure
235,C0021933,6278,Intussusception
236,C0085437,6213,Bacterial meningitis NOS
237,C0007177,6207,Cardiac tamponade
238,C1145628,6198,Autonomic nerve dis NEC
239,C0032797,6196,Postpartum hemorrhage
240,C0007102,6186,"Malignant neoplasm of colon, unspecified site"
241,C0575081,6165,Abnormality of gait
242,C0034186,6143,Pyelonephritis NOS
243,C0002873,6098,Anemia of chronic disease
244,C0085584,6088,Encephalopathy NOS
245,C0040147,6065,Thyroiditis NOS
246,C0151779,5962,Malignant melanoma of skin
247,C0017086,5956,Gangrene
248,C0014009,5916,Empyema
249,C0003860,5890,Arteritis NOS
250,C0004604,5889,Backache NOS
251,C0152020,5886,Gastroparesis
252,C0032227,5758,Pleural effusion NOS
253,C0038358,5755,Gastric ulcer
254,C0034372,5747,"Quadriplegia, unspecified"
255,C0022650,5724,Calculus of kidney
256,C0001815,5667,Myelofibrosis with myeloid metaplasia
257,C0016663,5654,Pathologic fracture
258,C0041782,5650,Deficiency anemia NOS
259,C0242966,5619,"SIRS, NOS"
260,C0006145,5614,DISORDERS OF BREAST
261,C0018965,5495,Hematuria
262,C0011848,5462,Diabetes insipidus
263,C0232493,5450,"Abdominal pain, epigastric"
264,C0376358,5407,Malignant neoplasm of prostate
265,C0010692,5330,"Cystitis, unspecified"
266,C0040034,5309,Thrombocytopenia NOS
267,C2267227,5260,Bulimia nervosa
268,C0039483,5225,Giant cell arteritis
269,C0011882,5218,Diabetes with neurological manifestations
270,C0018889,5147,HELMINTHIASES
271,C0011880,5061,Diabetes with ketoacidosis
272,C0085669,5050,"Leukemia of unspecified cell type, acute"
273,C0006840,5049,Candidiasis of unspecified site
274,C0149520,5040,Acute cholecystitis
275,C1701940,5011,Ventilator associated pneumonia
276,C0392618,5009,Postoperative infection
277,C0242172,4995,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
278,C0004239,4937,Atrial flutter
279,C0019112,4924,Hemorrhoids
280,C0042961,4833,Volvulus
281,C0015806,4813,Fracture of neck of femur
282,C0278061,4743,Altered mental status
283,C0003090,4741,"Ankylosis of joint, site unspecified"
284,C0032463,4734,Polycythemia vera
285,C0547030,4720,Unspecified visual disturbance
286,C0473237,4498,Gross hematuria
287,C0007115,4371,Malignant neoplasm of thyroid gland
288,C0023885,4367,Abscess of liver
289,C0041952,4356,Calculus of ureter
290,C0038449,4353,Stricture of artery
291,C0259768,4282,Wound disruption NOS
292,C0332679,4270,CRUSHING INJURY
293,C1510472,4214,Drug dependence
294,C0021845,4164,Perforation of intestine
295,C0006413,4156,Burkitt's tumor or lymphoma
296,C0029443,4141,"Unspecified osteomyelitis, site unspecified"
297,C4551691,4071,Urethral stricture
298,C0025303,4062,Meningococcal infection
299,C0027873,4060,Neuromyelitis optica
300,C0524662,4043,Opioid type dependence
301,C0040761,4026,Complete transposition of great vessels
302,C0032231,4019,Pleurisy
303,C0013295,4013,Duodenal ulcer
304,C0019069,3980,Congenital factor VIII disorder
305,C0026948,3965,Mycosis fungoides
306,C0238124,3883,Necrotizing fasciitis
307,C0004626,3876,Bacterial pneumonia NOS
308,C0546837,3864,"Malignant neoplasm of esophagus, unspecified site"
309,C0026654,3855,Moyamoya disease
310,C0234428,3843,Alteration of consciousness
311,C0346647,3817,"Malignant neoplasm of pancreas, part unspecified"
312,C0042974,3805,Von Willebrand's disease
313,C0036091,3763,Sialolithiasis
314,C4048158,3741,Convulsions
315,C0000832,3723,"Premature separation of placenta, unspecified as to episode of care or not applicable"
316,C0149531,3714,Fracture of pelvis
317,C0005684,3689,"Malignant neoplasm of bladder, part unspecified"
318,C1321898,3679,Blood in stool
319,C0033893,3678,Tension headache
320,C2717961,3661,Thrombotic microangiopathy
321,C0021843,3590,Unspecified intestinal obstruction
322,C0152128,3583,Drug withdrawal
323,C0700613,3552,Anxiety state NOS
324,C0023860,3548,Listeriosis
325,C0030807,3523,Pemphigus
326,C0339901,3521,ACUTE RESPIRATORY INFECTIONS
327,C0005697,3487,Neurogenic bladder NOS
328,C0025637,3486,Methemoglobinemia
329,C0024302,3471,Large cell lymphoma
330,C0155773,3434,Portal vein thrombosis
331,C0009952,3433,Febrile convulsions NOS
332,C0019570,3433,Hirschsprung's disease and other congenital functional disorders of colon
333,C0178879,3329,Urinary obstruction NOS
334,C0085413,3319,"Polycystic kidney, autosomal dominant"
335,C0009946,3288,Conversion disorder
336,C0041834,3279,Unspecified erythematous condition
337,C0012242,3275,DISEASES OF THE DIGESTIVE SYSTEM
338,C0019158,3249,Hepatitis NOS
339,C0017154,3179,Atrophic gastritis
340,C0018926,3160,Hematemesis
341,C0302359,3136,Shigella flexneri
342,C0162316,3130,"Iron deficiency anemia, unspecified"
343,C0341950,3124,Severe pre-eclampsia
344,C0027849,3122,Neuroleptic malignant syndrome
345,C0020162,3120,Fracture of humerus
346,C0040558,3071,Toxoplasmosis
347,C0085084,3071,Motor neuron disease
348,C0035436,3060,ACUTE RHEUMATIC FEVER
349,C0037315,2958,Sleep apnea NOS
350,C0156212,2948,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction"
351,C0006285,2940,"Bronchopneumonia, organism unspecified"
352,C0157749,2926,Arthropathy associated with infections
353,C0154723,2892,Migraine with aura
354,C0023241,2860,Legionnaires' disease
355,C0268790,2856,Vascular disorders of kidney
356,C0080032,2846,Malignant pleural effusion
357,C0013274,2831,Patent ductus arteriosus
358,C0019196,2813,Unspecified viral hepatitis C
359,C0026265,2812,Mitral valve disorder
360,C0010678,2806,Cysticercosis
361,C0178238,2795,INTESTINAL INFECTIOUS DISEASES
362,C0600427,2783,"Cocaine dependence, unspecified"
363,C1260873,2780,Aortic valve disorder
364,C0027947,2771,Neutropenia NOS
365,C0235299,2746,"Abdominal pain, right upper quadrant"
366,C0341858,2736,Endometriosis of uterus
367,C0039145,2732,Syringomyelia and syringobulbia
368,C0162678,2719,"Neurofibromatosis, unspecified"
369,C0037116,2718,Pneumoconiosis due to other silica or silicates
370,C0153014,2675,Lymphocytic choriomeningitis
371,C0002063,2668,Alkalosis
372,C0153382,2658,"Malignant neoplasm of oropharynx, unspecified site"
373,C0004576,2657,Babesiosis
374,C0009171,2651,"Cocaine abuse, unspecified"
375,C0345904,2648,"Malignant neoplasm of liver, not specified as primary or secondary"
376,C0025289,2615,Meningitis NOS
377,C0153633,2613,"Malignant neoplasm of brain, unspecified"
378,C0155733,2603,Atherosclerosis of aorta
379,C0041351,2590,Unspecified tularemia
380,C0580546,2581,Abnormal glucose
381,C0750426,2576,Elevated white blood cell count
382,C0079924,2553,Oligohydramnios
383,C0264886,2540,"Conduction disorder, unspecified"
384,C0031036,2529,Polyarteritis nodosa
385,C0155540,2514,Otorrhea
386,C0159877,2501,Fracture of ankle
387,C0752347,2481,Dementia with lewy bodies
388,C0600040,2467,Chronic interstitial cystitis
389,C1739395,2429,Takotsubo syndrome
390,C0341106,2423,Eosinophilic esophagitis
391,C0034067,2416,Emphysema
392,C0024620,2410,"Malignant neoplasm of liver, primary"
393,C0042485,2392,Venous insufficiency NOS
394,C0154199,2381,Diseases of thymus gland
395,C0002726,2381,Amyloidosis
396,C0280803,2375,Primary central nervous system lymphoma
397,C0019087,2352,Unspecified hemorrhagic conditions
398,C0037304,2345,FRACTURE OF SKULL
399,C0023518,2311,Leukocytosis NOS
400,C0037928,2309,Spinal cord disease NOS
401,C0160683,2302,Injury to internal carotid artery
402,C0014743,2300,Erythema nodosum
403,C0030326,2286,"Panniculitis, unspecified"
404,C0155686,2264,Acute myocarditis NOS
405,C0014860,2259,Perforation of esophagus
406,C0236663,2229,Alcohol withdrawal
407,C0332798,2219,OPEN WOUNDS
408,C0031154,2203,Peritonitis NOS
409,C0235653,2194,"Malignant neoplasm of breast (female), unspecified"
410,C0041227,2190,Trypanosomiasis
411,C0085696,2188,Chronic prostatitis
412,C0155616,2155,Unspecified secondary hypertension
413,C3463824,2135,"Myelodysplastic syndrome, unspecified"
414,C1561826,2129,Overweight and obesity
415,C0042928,2120,Vocal cord paralysis NOS
416,C0001957,2118,Alcohol withdrawal delirium
417,C0161819,2115,Digestive system complications
418,C0520575,2065,Acute pyelonephritis
419,C0002874,2061,Aplastic anemia NOS
420,C0027066,2031,Myoclonus
421,C0162297,2030,Respiratory arrest
422,C0007780,2022,Cerebral embolism
423,C0017155,2022,Gastric mucosal hypertrophy
424,C0008707,2003,"Chronic osteomyelitis, site unspecified"
425,C0376175,1996,Bell's palsy
426,C0007194,1985,Hypertrophic cardiomyopathy
427,C0949135,1983,Other constipation
428,C0275551,1974,Spontaneous bacterial peritonitis
429,C0019212,1951,Hepatorenal syndrome
430,C0549423,1947,Obstructive hydrocephalus
431,C0694551,1943,"Abdominal pain, right lower quadrant"
432,C0029095,1925,Opioid abuse
433,C0159658,1912,Fracture of clavicle
434,C0031048,1879,Constrictive pericarditis
435,C0079774,1864,Peripheral T-cell lymphoma
436,C0024110,1854,Abscess of lung
437,C0037023,1842,Sialoadenitis
438,C0393819,1817,Chronic inflammatory demyelinating polyneuritis
439,C1135191,1802,"Systolic heart failure, unspecified"
440,C0001261,1796,Actinomycotic infection of unspecified site
441,C4551650,1793,Esophageal stricture
442,C3887558,1787,Hemophagocytic syndromes
443,C0034888,1787,Rectal prolapse
444,C0728936,1783,DISEASES OF THE CIRCULATORY SYSTEM
445,C0041330,1778,Tuberculosis of vertebral column
446,C0398650,1771,Immune thrombocytopenic purpura
447,C0160755,1765,Injury to common femoral artery
448,C0037005,1761,Dislocation of shoulder
449,C0153392,1757,"Malignant neoplasm of nasopharynx, unspecified site"
450,C0152517,1755,Enteritis due to specified virus
451,C1510475,1727,Diverticula of intestine
452,C0153252,1715,Disseminated candidiasis
453,C0260749,1693,Fitting and adjustment of cardiac pacemaker
454,C0158638,1688,Cerebrovascular anomaly
455,C0750952,1681,"Malignant neoplasm of biliary tract, part unspecified site"
456,C0159028,1674,General symptoms
457,C0153349,1665,"Malignant neoplasm of tongue, unspecified"
458,C0025295,1619,Pneumococcal meningitis
459,C0024586,1615,Carcinoid syndrome
460,C0037932,1592,Curvature of spine
461,C0375071,1590,"Malignant neoplasm of vulva, unspecified site"
462,C0020651,1584,Orthostatic hypotension
463,C1253936,1555,Effusion of joint
464,C0178282,1542,HERNIA OF ABDOMINAL CAVITY
465,C0042024,1522,Urinary incontinence NOS
466,C0005937,1518,"Cyst of bone (localized), unspecified"
467,C0156369,1501,Polyp of corpus uteri
468,C0155919,1487,"Acute edema of lung, unspecified"
469,C0153687,1474,Secondary malignant neoplasm of skin
470,C0025267,1461,Mult endo neoplas type I
471,C0030196,1452,Pain in limb
472,C0007795,1451,Schilder's disease
473,C0178292,1449,"COMPLICATIONS OF PREGNANCY, CHILDBIRTH, AND THE PUERPERIUM"
474,C0153467,1445,"Malignant neoplasm of peritoneum, unspecified"
475,C0014848,1439,Achalasia and cardiospasm
476,C0340648,1436,Dissection of coronary artery
477,C0023066,1425,Laryngeal spasm
478,C0428908,1424,Sinoatrial node dysfunction
479,C0751908,1418,Vestibular neuronitis
480,C0152105,1417,Hypertensive heart disease
481,C0038218,1413,"Asthma, unspecified type, with status asthmaticus"
482,C0014742,1407,Erythema multiforme
483,C0023448,1388,Lymphoid leukemia
484,C0027927,1387,Neurosyphilis NOS
485,C0085694,1373,Chronic cholecystitis
486,C0160405,1365,Injury to spleen
487,C0220656,1364,Malignant ascites
488,C0152268,1353,"Hodgkin's disease, nodular sclerosis"
489,C0085399,1312,Ehrlichiosis NOS
490,C0152086,1304,Traumatic arthropathy
491,C2830120,1300,Liver donors
492,C0158623,1290,Coronary artery anomaly
493,C0080178,1286,Spina bifida
494,C0024796,1272,Marfan syndrome
495,C0155734,1261,Atherosclerosis of renal artery
496,C0034050,1250,Pulmonary alveolar proteinosis
497,C0264492,1245,Chronic respiratory failure
498,C0149514,1237,Acute bronchitis
499,C0242343,1237,Panhypopituitarism
500,C0021313,1236,Infections of kidney
501,C0030446,1220,Paralytic ileus
502,C0019061,1195,Hemolytic-uremic syndrome
503,C0700345,1182,Candidal vulvovaginitis
504,C0003868,1172,Gouty arthropathy NOS
505,C0085697,1162,Chronic pyelonephritis
506,C0238552,1156,"Abdominal pain, left upper quadrant"
507,C0041321,1153,Miliary TB NOS-unspec
508,C0001327,1148,Acute laryngitis
509,C0041326,1130,"Tuberculous pleurisy, unspecified"
510,C0149896,1104,Acute gouty arthropathy
511,C0004031,1093,Allergic bronchopulmonary aspergillosis
512,C0153436,1083,Malignant neoplasm of sigmoid colon
513,C0023443,1080,Leukemic reticuloendotheliosis
514,C0036689,1069,Streptococcal sore throat
515,C0032776,1055,Postmenopausal bleeding
516,C0311335,1045,Grand mal status
517,C0877208,1045,Peripartum cardiomyopathy
518,C0042721,1045,Viral hepatitis
519,C0000737,1008,"Abdominal pain, unspecified site"
520,C0342580,999,Hyperosmolality and/or hypernatremia
521,C1135196,991,"Diastolic heart failure, unspecified"
522,C0018991,978,"Hemiplegia, unspecified"
523,C0023891,978,Alcoholic cirrhosis of liver
524,C0080276,974,DISEASES OF THE GENITOURINARY SYSTEM
525,C0009451,971,Communicating hydrocephalus
526,C0025306,948,Meningococcemia
527,C0036420,941,Circumscribed scleroderma
528,C0020295,939,Hydronephrosis
529,C0149512,936,Acute sinusitis NOS
530,C0014869,931,Reflux esophagitis
531,C0161734,931,Effects of reduced temperature
532,C0239295,927,Candidal esophagitis
533,C0154769,924,Toxic myopathy
534,C0085222,921,Psoas muscle abscess
535,C0017105,907,Gas gangrene
536,C0150055,900,Chronic pain
537,C0162870,892,Aneurysm of iliac artery
538,C1800706,889,Idiopathic pulmonary fibrosis
539,C0149518,867,Acute gastritis
540,C0153065,857,Eastern equine encephalitis
541,C0435892,845,"Fracture of lateral malleolus, closed"
542,C0265122,844,Unspecified disease of pericardium
543,C0338585,837,Dissection of carotid artery
544,C0040997,834,Trigeminal neuralgia
545,C0023052,828,Edema of larynx
546,C0032302,817,Pneumonia due to mycoplasma pneumoniae
547,C0159849,813,Fracture of patella
548,C0264865,804,Endocarditis NOS
549,C0156221,800,Acute glomerulonephritis
550,C0002390,800,Unspecified allergic alveolitis and pneumonitis
551,C0155002,799,Sudden visual loss
552,C0040588,796,Tracheoesophageal fistula
553,C0338586,790,Dissection of vertebral artery
554,C0085932,783,Unspecified bullous dermatoses
555,C0236816,780,Unspecified acute reaction to stress
556,C0043541,775,Zygomycosis
557,C0035204,769,DISEASES OF THE RESPIRATORY SYSTEM
558,C0153398,768,Malignant neoplasm of hypopharynx
559,C1719672,759,Severe sepsis
560,C0016665,753,Nonunion of fracture
561,C0023484,753,Plasma cell leukemia
562,C0019064,752,Hemopericardium
563,C0019655,749,Histoplasmosis
564,C0031157,746,Peritonsillar abscess
565,C0149517,741,Chronic tonsillitis
566,C0024141,736,Systemic lupus erythematosus
567,C0004997,733,Benign neoplasm of ovary
568,C0001311,726,Acute bronchiolitis
569,C0149649,713,Atheroembolism
570,C0038531,697,Subclavian steal syndrome
571,C0020256,692,Congenital hydrocephalus
572,C0034068,686,Pulmonary eosinophilia
573,C0155679,685,Acute pericarditis NOS
574,C0001363,684,Acute vascular insufficiency of intestine
575,C0156349,684,Genital prolapse
576,C0155760,675,Rupture of artery
577,C0019151,668,Hepatic encephalopathy
578,C0013927,658,Amniotic fluid embolism
579,C0031212,654,Personality disorders
580,C0030636,653,Pasteurellosis
581,C0178237,653,DISEASES AND INJURIES
582,C0037278,649,INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE
583,C0003869,643,Pyogenic arthritis
584,C0274869,639,Toxic effect of other metals
585,C0152165,632,Persistent vomiting
586,C0002880,631,Autoimmune hemolytic anemias
587,C0151620,630,Hypertensive encephalopathy
588,C4721505,629,Myeloid sarcoma
589,C0473472,628,Precipitate labor
590,C1719369,625,"Unspecified causes of encephalitis, myelitis, and encephalomyelitis"
591,C0001361,621,Acute tonsillitis
592,C0008039,619,Cheyne-Stokes respiration
593,C0149881,612,"Orchitis and epididymitis, unspecified"
594,C0677640,612,"Histoplasmosis, unspecified, without mention of manifestation"
595,C0159970,611,Dislocation of knee
596,C3714542,607,Lymphosarcoma
597,C0019364,603,Herpes zoster with ophthalmic complications
598,C3542501,600,Acute infective polyneuritis
599,C0155789,599,Esophageal varices with bleeding
600,C0004238,598,Atrial fibrillation
601,C0016196,596,Flail chest
602,C0158371,592,Acute osteomyelitis
603,C1542178,592,FRACTURE OF LOWER LIMB
604,C0153494,589,"Malignant neoplasm of pleura, unspecified"
605,C0848548,576,"Hypertensive renal disease, unspecified"
606,C0001265,573,Actinomycotic infection of other specified sites
607,C0238551,573,"Abdominal pain, left lower quadrant"
608,C0151970,572,Ulcer of esophagus
609,C0007107,571,"Malignant neoplasm of larynx, unspecified"
610,C0012811,565,Diverticula of colon
611,C0160680,563,Injury to carotid artery
612,C0036093,562,Unspecified disease of the salivary glands
613,C0346156,549,Benign neoplasm of breast
614,C0040156,538,Thyrotoxicosis with or without goiter
615,C0152177,537,Trigeminal nerve disorders
616,C0009918,534,Contracture of joint
617,C0001306,533,Acute alcoholic hepatitis
618,C3647143,530,Secondary malignant neoplasm of ovary
619,C0086588,529,Nutritional marasmus
620,C0155843,529,Retropharyngeal abscess
621,C0156156,527,Gallstone ileus
622,C0035344,524,Retrolental fibroplasia
623,C0265098,520,Occlusion and stenosis of basilar artery
624,C0155747,517,Splenic artery aneurysm
625,C0152965,517,"Staphylococcal septicemia, unspecified"
626,C0153601,515,"Malignant neoplasm of penis, part unspecified"
627,C1955741,513,Glucocorticoid deficiency
628,C0001344,508,Acute pharyngitis
