cui_code,icd_code1,category,icd_code2,title
C0002453,626.0,ICD9CM,6260,Absence of menstruation
C0002514,270,ICD9CM,270,Disorders of amino-acid transport and metabolism
C0002514,270.9,ICD9CM,2709,Unspecified disorder of amino-acid metabolism
C0002514,270.9,ICD9CM,2709,Dis amino-acid metab NOS
C0002625,294.0,ICD9CM,2940,Amnestic disorder in conditions classified elsewhere
C0002625,294.0,ICD9CM,2940,Amnestic disord oth dis
C0002627,75.1,ICD9CM,751,Diagnostic amniocentesis
C0002627,75.1,ICD9CM,751,Diagnostic amniocentesis
C0002631,658.4,ICD9CM,6584,Infection of amniotic cavity
C0002631,658.40,ICD9CM,65840,"Infection of amniotic cavity, unspecified as to episode of care or not applicable"
C0002631,658.40,ICD9CM,65840,Amniotic infection-unsp
C0002632,75.31,ICD9CM,7531,Amnioscopy
C0002632,75.31,ICD9CM,7531,Amnioscopy
C0002688,84.91,ICD9CM,8491,Amputation NOS
C0002688,84.91,ICD9CM,8491,"Amputation, not otherwise specified"
C0002691,84.17,ICD9CM,8417,Amputation above knee
C0002691,84.17,ICD9CM,8417,Above knee amputation
C0002726,277.3,ICD9CM,2773,Amyloidosis
C0002726,277.30,ICD9CM,27730,Amyloidosis NOS
C0002726,277.30,ICD9CM,27730,"Amyloidosis, unspecified"
C0002736,335.20,ICD9CM,33520,Amyotrophic lateral sclerosis
C0002736,335.20,ICD9CM,33520,Amyotrophic sclerosis
C0002753,569.0,ICD9CM,5690,Anal and rectal polyp
C0002753,569.0,ICD9CM,5690,Anal & rectal polyp
C0002758,569.42,ICD9CM,56942,Anal or rectal pain
C0002758,569.42,ICD9CM,56942,Anal or rectal pain
C0002871,285.9,ICD9CM,2859,Anemia NOS
C0002871,285.9,ICD9CM,2859,"Anemia, unspecified"
C0002873,285.2,ICD9CM,2852,Anemia of chronic disease
C0002874,284.9,ICD9CM,2849,Aplastic anemia NOS
C0002874,284.9,ICD9CM,2849,"Aplastic anemia, unspecified"
C0002879,283,ICD9CM,283,Acquired hemolytic anemias
C0002879,283.9,ICD9CM,2839,"Acquired hemolytic anemia, unspecified"
C0002879,283.9,ICD9CM,2839,Acq hemolytic anemia NOS
C0002880,283.0,ICD9CM,2830,Autoimmune hemolytic anemias
C0002880,283.0,ICD9CM,2830,Autoimmun hemolytic anem
C0002881,282,ICD9CM,282,Hereditary hemolytic anemias
C0002881,282.9,ICD9CM,2829,"Hereditary hemolytic anemia, unspecified"
C0002881,282.9,ICD9CM,2829,Hered hemolytic anem NOS
C0002892,281.0,ICD9CM,2810,Pernicious anemia
C0002892,281.0,ICD9CM,2810,Pernicious anemia
C0002895,282.6,ICD9CM,2826,Sickle-cell disease
C0002895,282.60,ICD9CM,28260,Sickle cell disease NOS
C0002895,282.60,ICD9CM,28260,"Sickle-cell disease, unspecified"
C0002896,285.0,ICD9CM,2850,Sideroblastic anemia
C0002896,285.0,ICD9CM,2850,Sideroblastic anemia
C0002899,282.2,ICD9CM,2822,Anemias due to disorders of glutathione metabolism
C0002899,282.2,ICD9CM,2822,Glutathione dis anemia
C0002902,740.0,ICD9CM,7400,Anencephalus
C0002902,740.0,ICD9CM,7400,Anencephalus
C0002940,442.9,ICD9CM,4429,Aneurysm NOS
C0002940,442.9,ICD9CM,4429,Aneurysm of unspecified site
C0002945,442.8,ICD9CM,4428,Aneurysm of other specified artery
C0002946,442.89,ICD9CM,44289,Aneurysm NEC
C0002946,442.89,ICD9CM,44289,Aneurysm of other specified artery
C0002962,413,ICD9CM,413,Angina pectoris
C0002963,413.1,ICD9CM,4131,Prinzmetal angina
C0002963,413.1,ICD9CM,4131,Prinzmetal angina
C0002965,411.1,ICD9CM,4111,Intermediate coronary syndrome
C0002965,411.1,ICD9CM,4111,Intermed coronary synd
C0002971,88.50,ICD9CM,8850,Angiocardiography NOS
C0002971,88.50,ICD9CM,8850,"Angiocardiography, not otherwise specified"
C0002983,363.43,ICD9CM,36343,Angioid streaks of choroid
C0002983,363.43,ICD9CM,36343,"Angioid streaks, choroid"
C0002998,39.30,ICD9CM,3930,Suture of vessel NOS
C0002998,39.30,ICD9CM,3930,Suture of unspecified blood vessel
C0003028,705.0,ICD9CM,7050,Anhidrosis
C0003028,705.0,ICD9CM,7050,Anhidrosis
C0003044,E906.5,ICD9CM,E9065,Animal bite NOS
C0003044,E906.5,ICD9CM,E9065,Bite by unspecified animal
C0003076,743.45,ICD9CM,74345,Aniridia
C0003076,743.45,ICD9CM,74345,Aniridia
C0003078,367.32,ICD9CM,36732,Aniseikonia
C0003078,367.32,ICD9CM,36732,Aniseikonia
C0003079,379.41,ICD9CM,37941,Anisocoria
C0003079,379.41,ICD9CM,37941,Anisocoria
C0003081,367.31,ICD9CM,36731,Anisometropia
C0003081,367.31,ICD9CM,36731,Anisometropia
C0003089,720,ICD9CM,720,Ankylosing spondylitis and other inflammatory spondylopathies
C0003090,718.5,ICD9CM,7185,Ankylosis of joint
C0003090,718.50,ICD9CM,71850,"Ankylosis of joint, site unspecified"
C0003090,718.50,ICD9CM,71850,Ankylosis-unspec
C0003110,524.1,ICD9CM,5241,Anomalies of relationship of jaw to cranial base
C0003110,524.10,ICD9CM,52410,"Anomalies of relationship of jaw to cranial base, unspecified anomaly"
C0003110,524.10,ICD9CM,52410,Unspcf anm jaw cranl bse
C0003119,743.0,ICD9CM,7430,Anophthalmos
C0003119,743.00,ICD9CM,74300,"Clinical anophthalmos, unspecified"
C0003119,743.00,ICD9CM,74300,Clinic anophthalmos NOS
C0003123,783.0,ICD9CM,7830,Anorexia
C0003123,783.0,ICD9CM,7830,Anorexia
C0003125,307.1,ICD9CM,3071,Anorexia nervosa
C0003125,307.1,ICD9CM,3071,Anorexia nervosa
C0003132,348.1,ICD9CM,3481,Anoxic brain damage
C0003132,348.1,ICD9CM,3481,Anoxic brain damage
C0003165,500,ICD9CM,500,Coal workers' pneumocon
C0003165,500,ICD9CM,500,Coal workers' pneumoconiosis
C0003175,022,ICD9CM,022,Anthrax
C0003175,022.9,ICD9CM,0229,Anthrax NOS
C0003175,022.9,ICD9CM,0229,"Anthrax, unspecified"
C0003177,022.0,ICD9CM,0220,Cutaneous anthrax
C0003177,022.0,ICD9CM,0220,Cutaneous anthrax
C0003431,301.7,ICD9CM,3017,Antisocial personality disorder
C0003431,301.7,ICD9CM,3017,Antisocial personality
C0003477,309.21,ICD9CM,30921,Separation anxiety disorder
C0003477,309.21,ICD9CM,30921,Separation anxiety
C0003492,747.10,ICD9CM,74710,Coarctation of aorta
C0003492,747.1,ICD9CM,7471,Coarctation of aorta
C0003492,747.10,ICD9CM,74710,Coarctation of aorta (preductal) (postductal)
C0003511,093.1,ICD9CM,0931,Syphilitic aortitis
C0003511,093.1,ICD9CM,0931,Syphilitic aortitis
C0003515,88.42,ICD9CM,8842,Aortography
C0003515,88.42,ICD9CM,8842,Contrast aortogram
C0003534,379.31,ICD9CM,37931,Aphakia
C0003534,379.31,ICD9CM,37931,Aphakia
C0003537,784.3,ICD9CM,7843,Aphasia
C0003537,784.3,ICD9CM,7843,Aphasia
C0003564,784.41,ICD9CM,78441,Aphonia
C0003564,784.41,ICD9CM,78441,Aphonia
C0003571,23.73,ICD9CM,2373,Apicoectomy
C0003571,23.73,ICD9CM,2373,Apicoectomy
C0003578,786.03,ICD9CM,78603,Apnea
C0003578,786.03,ICD9CM,78603,Apnea
C0003611,47.0,ICD9CM,470,Appendectomy
C0003615,540-543.99,ICD9CM,540-54399,APPENDICITIS
C0003615,541,ICD9CM,541,Appendicitis NOS
C0003615,541,ICD9CM,541,"Appendicitis, unqualified"
C0003626,23.41,ICD9CM,2341,Application of crown
C0003626,23.41,ICD9CM,2341,Crown application
C0003627,93.57,ICD9CM,9357,Application of other wound dressing
C0003627,93.57,ICD9CM,9357,Dressing of wound NEC
C0003721,065,ICD9CM,065,Arthropod-borne hemorrhagic fever
C0003721,065.9,ICD9CM,0659,"Arthropod-borne hemorrhagic fever, unspecified"
C0003721,065.9,ICD9CM,0659,Arthropod hem fever NOS
C0003723,060-066.99,ICD9CM,060-06699,ARTHROPOD-BORNE VIRAL DISEASES
C0003723,066.9,ICD9CM,0669,"Arthropod-borne viral disease, unspecified"
C0003723,066.9,ICD9CM,0669,Arthropod virus NOS
C0003811,427,ICD9CM,427,Cardiac dysrhythmias
C0003811,427.9,ICD9CM,4279,Cardiac dysrhythmia NOS
C0003811,427.9,ICD9CM,4279,"Cardiac dysrhythmia, unspecified"
C0003844,88.4,ICD9CM,884,Arteriography using contrast material
C0003860,447.6,ICD9CM,4476,Arteritis NOS
C0003860,447.6,ICD9CM,4476,"Arteritis, unspecified"
C0003862,719.40,ICD9CM,71940,Joint pain-unspec
C0003862,719.4,ICD9CM,7194,Pain in joint
C0003862,719.40,ICD9CM,71940,"Pain in joint, site unspecified"
C0003868,274.0,ICD9CM,2740,Gouty arthropathy
C0003868,274.00,ICD9CM,27400,Gouty arthropathy NOS
C0003868,274.00,ICD9CM,27400,"Gouty arthropathy, unspecified"
C0003869,711.90,ICD9CM,71190,Inf arthritis NOS-unspec
C0003869,711.0,ICD9CM,7110,Pyogenic arthritis
C0003869,711.9,ICD9CM,7119,Unspecified infective arthritis
C0003869,711.90,ICD9CM,71190,"Unspecified infective arthritis, site unspecified"
C0003872,696.0,ICD9CM,6960,Psoriatic arthropathy
C0003872,696.0,ICD9CM,6960,Psoriatic arthropathy
C0003873,714.0,ICD9CM,7140,Rheumatoid arthritis
C0003873,714.0,ICD9CM,7140,Rheumatoid arthritis
C0003881,81.20,ICD9CM,8120,Arthrodesis NOS
C0003881,81.20,ICD9CM,8120,Arthrodesis of unspecified joint
C0003883,81.29,ICD9CM,8129,Arthrodesis of other specified joints
C0003883,81.29,ICD9CM,8129,Arthrodesis NEC
C0003885,88.32,ICD9CM,8832,Contrast arthrogram
C0003885,88.32,ICD9CM,8832,Contrast arthrogram
C0003892,713.5,ICD9CM,7135,Arthropathy associated with neurological disorders
C0003892,713.5,ICD9CM,7135,Arthropathy w nerve dis
C0003904,80.2,ICD9CM,802,Arthroscopy
C0003906,,MTH,NOCODE,Arthroscopy NEC in ICD9CM_2014
C0003906,80.29,ICD9CM,8029,Arthroscopy NEC
C0003906,80.29,ICD9CM,8029,"Arthroscopy, other specified sites"
C0003907,995.21,ICD9CM,99521,Arthus phenomenon
C0003907,995.21,ICD9CM,99521,Arthus phenomenon
C0003949,501,ICD9CM,501,Asbestosis
C0003949,501,ICD9CM,501,Asbestosis
C0003950,127.0,ICD9CM,1270,Ascariasis
C0003950,127.0,ICD9CM,1270,Ascariasis
C0003962,789.5,ICD9CM,7895,Ascites
C0003969,267,ICD9CM,267,Ascorbic acid deficiency
C0003969,267,ICD9CM,267,Ascorbic acid deficiency
C0003977,733.42,ICD9CM,73342,Aseptic necrosis of head and neck of femur
C0003977,733.42,ICD9CM,73342,Aseptic necrosis femur
C0004030,117.3,ICD9CM,1173,Aspergillosis
C0004030,117.3,ICD9CM,1173,Aspergillosis
C0004031,518.6,ICD9CM,5186,Allergic bronchopulmonary aspergillosis
C0004031,518.6,ICD9CM,5186,Alrgc brncpul asprglosis
C0004044,799.01,ICD9CM,79901,Asphyxia
C0004044,799.01,ICD9CM,79901,Asphyxia
C0004045,768.9,ICD9CM,7689,Unspecified severity of birth asphyxia in liveborn infant
C0004045,768.9,ICD9CM,7689,Birth asphyxia NOS
C0004050,69.51,ICD9CM,6951,Aspiration curettage of uterus for termination of pregnancy
C0004050,69.51,ICD9CM,6951,Aspirat curet-preg termi
C0004063,E968.9,ICD9CM,E9689,Assault NOS
C0004063,E968.9,ICD9CM,E9689,Assault by unspecified means
C0004096,493,ICD9CM,493,Asthma
C0004096,493.9,ICD9CM,4939,"Asthma, unspecified"
C0004106,367.2,ICD9CM,3672,Astigmatism
C0004106,367.20,ICD9CM,36720,Astigmatism NOS
C0004106,367.20,ICD9CM,36720,"Astigmatism, unspecified"
C0004144,518.0,ICD9CM,5180,Pulmonary collapse
C0004144,518.0,ICD9CM,5180,Pulmonary collapse
C0004153,440,ICD9CM,440,Atherosclerosis
C0004155,440.8,ICD9CM,4408,Atherosclerosis of other specified arteries
C0004155,440.8,ICD9CM,4408,Atherosclerosis NEC
C0004187,691,ICD9CM,691,Atopic dermatitis and related conditions
C0004238,427.31,ICD9CM,42731,Atrial fibrillation
C0004238,427.31,ICD9CM,42731,Atrial fibrillation
C0004239,427.32,ICD9CM,42732,Atrial flutter
C0004239,427.32,ICD9CM,42732,Atrial flutter
C0004245,426.10,ICD9CM,42610,"Atrioventricular block, unspecified"
C0004245,426.10,ICD9CM,42610,Atriovent block NOS
C0004269,314.0,ICD9CM,3140,Attention deficit disorder of childhood
C0004286,95.41,ICD9CM,9541,Audiometry
C0004286,95.41,ICD9CM,9541,Audiometry
C0004352,299.0,ICD9CM,2990,Autistic disorder
C0004398,89.8,ICD9CM,898,Autopsy
C0004398,89.8,ICD9CM,898,Autopsy
C0004402,758.3,ICD9CM,7583,Autosomal deletion syndromes
C0004444,301.82,ICD9CM,30182,Avoidant personality disorder
C0004444,301.82,ICD9CM,30182,Avoidant personality dis
C0004445,871.3,ICD9CM,8713,Avulsion of eye
C0004445,871.3,ICD9CM,8713,Avulsion of eye
C0004509,606.0,ICD9CM,6060,Azoospermia
C0004509,606.0,ICD9CM,6060,Azoospermia
C0004576,088.82,ICD9CM,08882,Babesiosis
C0004576,088.82,ICD9CM,08882,Babesiosis
C0004604,724.5,ICD9CM,7245,Backache NOS
C0004604,724.5,ICD9CM,7245,"Backache, unspecified"
C0004606,362.03,ICD9CM,36203,Nonproliferative diabetic retinopathy NOS
C0004606,362.01,ICD9CM,36201,Background diabetic retinopathy
C0004606,362.01,ICD9CM,36201,Diabetic retinopathy NOS
C0004606,362.03,ICD9CM,36203,Nonprolf db retnoph NOS
C0004608,362.10,ICD9CM,36210,"Background retinopathy, unspecified"
C0004608,362.10,ICD9CM,36210,Backgrnd retinopathy NOS
C0004610,790.7,ICD9CM,7907,Bacteremia
C0004610,790.7,ICD9CM,7907,Bacteremia
C0004622,041.9,ICD9CM,0419,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
C0004622,041.9,ICD9CM,0419,Bacterial infection NOS
C0004622,041,ICD9CM,041,Bacterial infection in conditions classified elsewhere and of unspecified site
C0004626,482.9,ICD9CM,4829,Bacterial pneumonia NOS
C0004626,482.9,ICD9CM,4829,"Bacterial pneumonia, unspecified"
C0004681,495.1,ICD9CM,4951,Bagassosis
C0004681,495.1,ICD9CM,4951,Bagassosis
C0004691,607.1,ICD9CM,6071,Balanoposthitis
C0004691,607.1,ICD9CM,6071,Balanoposthitis
C0004692,007.0,ICD9CM,0070,Balantidiasis
C0004692,007.0,ICD9CM,0070,Balantidiasis
C0004763,530.85,ICD9CM,53085,Barrett's esophagus
C0004763,530.85,ICD9CM,53085,Barrett's esophagus
C0004766,616.3,ICD9CM,6163,Abscess of Bartholin's gland
C0004766,616.3,ICD9CM,6163,Bartholin's glnd abscess
C0004767,616.2,ICD9CM,6162,Cyst of Bartholin's gland
C0004767,616.2,ICD9CM,6162,Bartholin's gland cyst
C0004771,088.0,ICD9CM,0880,Bartonellosis
C0004771,088.0,ICD9CM,0880,Bartonellosis
C0004775,255.13,ICD9CM,25513,Bartter's syndrome
C0004775,255.13,ICD9CM,25513,Bartter's syndrome
C0004795,E007.3,ICD9CM,E0073,Baseball
C0004795,E007.3,ICD9CM,E0073,Activities involving baseball
C0004812,435.0,ICD9CM,4350,Basilar artery syndrome
C0004812,435.0,ICD9CM,4350,Basilar artery syndrome
C0004818,E007.6,ICD9CM,E0076,Basketball
C0004818,E007.6,ICD9CM,E0076,Activities involving basketball
C0004933,94.33,ICD9CM,9433,Behavior therapy
C0004933,94.33,ICD9CM,9433,Behavior therapy
C0004943,136.1,ICD9CM,1361,Behcet's syndrome
C0004943,136.1,ICD9CM,1361,Behcet's syndrome
C0004991,211.3,ICD9CM,2113,Benign neoplasm of colon
C0004991,211.3,ICD9CM,2113,Benign neoplasm lg bowel
C0004992,225.1,ICD9CM,2251,Benign neoplasm of cranial nerves
C0004992,225.1,ICD9CM,2251,Benign neo cranial nerve
C0004994,213.1,ICD9CM,2131,Benign neoplasm of lower jaw bone
C0004994,213.1,ICD9CM,2131,Ben neo lower jaw bone
C0004997,220,ICD9CM,220,Benign neoplasm of ovary
C0004997,220,ICD9CM,220,Benign neoplasm ovary
C0004998,216,ICD9CM,216,Benign neoplasm of skin
C0004998,216.9,ICD9CM,2169,Benign neoplasm skin NOS
C0004998,216.9,ICD9CM,2169,"Benign neoplasm of skin, site unspecified"
C0005122,265.0,ICD9CM,2650,Beriberi
C0005122,265.0,ICD9CM,2650,Beriberi
C0005283,282.44,ICD9CM,28244,Beta thalassemia
C0005283,282.44,ICD9CM,28244,Beta thalassemia
C0005411,751.61,ICD9CM,75161,Biliary atresia
C0005411,751.61,ICD9CM,75161,Biliary atresia
C0005417,576.4,ICD9CM,5764,Fistula of bile duct
C0005417,576.4,ICD9CM,5764,Fistula of bile duct
C0005424,576.9,ICD9CM,5769,Unspecified disorder of biliary tract
C0005424,576.9,ICD9CM,5769,Dis of biliary tract NOS
C0005461,368.30,ICD9CM,36830,"Binocular vision disorder, unspecified"
C0005461,368.30,ICD9CM,36830,Binocular vision dis NOS
C0005586,296.80,ICD9CM,29680,Bipolar disorder NOS
C0005586,296.80,ICD9CM,29680,"Bipolar disorder, unspecified"
C0005592,495.2,ICD9CM,4952,Bird-fanciers' lung
C0005592,495.2,ICD9CM,4952,Bird-fanciers' lung
C0005604,767,ICD9CM,767,Birth trauma
C0005604,767.9,ICD9CM,7679,Birth trauma NOS
C0005604,767.9,ICD9CM,7679,"Birth trauma, unspecified"
C0005656,E906.3,ICD9CM,E9063,Bite of other animal except arthropod
C0005656,E906.3,ICD9CM,E9063,Animal bite NEC
C0005660,E928.3,ICD9CM,E9283,Human bite
C0005660,E928.3,ICD9CM,E9283,Human bite - accidental
C0005681,084.8,ICD9CM,0848,Blackwater fever
C0005681,084.8,ICD9CM,0848,Blackwater fever
C0005684,188,ICD9CM,188,Malignant neoplasm of bladder
C0005684,188.9,ICD9CM,1889,"Malignant neoplasm of bladder, part unspecified"
C0005684,188.9,ICD9CM,1889,Malig neo bladder NOS
C0005686,596.9,ICD9CM,5969,Unspecified disorder of bladder
C0005686,596.9,ICD9CM,5969,Bladder disorder NOS
C0005689,753.5,ICD9CM,7535,Bladder exstrophy
C0005689,753.5,ICD9CM,7535,Exstrophy of urinary bladder
C0005694,596.0,ICD9CM,5960,Bladder neck obstruction
C0005694,596.0,ICD9CM,5960,Bladder neck obstruction
