QueryID	PMID	ABSTRACT	SCORE	CONCEPTS
53	32775548	A Case of Brucellosis with Possible Ileal Involvement.	81.353096	"{""C0232488"": [""colicky abdominal pain"", [""T033""]], ""C2348813"": [""Abdominal ultrasound"", [""T060""]], ""C0019214"": [""hepatosplenomegaly"", [""T184""]], ""C0015695"": [""hepatic steatosis"", [""T047""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C1521726"": [""partial response"", [""T033""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0267596"": [""rectal bleeding"", [""T046""]], ""C0344232"": [""blurry vision"", [""T033""]], ""C0009566"": [""complications"", [""T046""]], ""C0028081"": [""night sweats"", [""T184""]], ""C0006309"": [""brucellosis"", [""T047""]], ""C0085636"": [""photophobia"", [""T184""]], ""C0751466"": [""phonophobia"", [""T048""]], ""C0750394"": [""leukopenia"", [""T033""]], ""C0040405"": [""tomography"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C0010828"": [""cytopenia"", [""T046""]], ""C0149931"": [""migraine"", [""T047""]], ""C0003123"": [""anorexia"", [""T047""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C0042963"": [""vomiting"", [""T184""]], ""C1509143"": [""Physical"", [""T033""]], ""C1446409"": [""positive"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C5236984"": [""response"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0015672"": [""fatigue"", [""T184""]], ""C0262512"": [""history"", [""T033""]], ""C0554756"": [""Doppler"", [""T060""]], ""C0038999"": [""swollen"", [""T033""]], ""C0020877"": [""ileitis"", [""T047""]], ""C0087111"": [""treatments"", [""T061""]], ""C0027497"": [""nausea"", [""T184""]], ""C0025222"": [""melena"", [""T046""]], ""C0424755"": [""Fever"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0024202"": [""lymph"", [""T031""]], ""C0015733"": [""Fecal"", [""T031""]], ""C0178913"": [""Blood"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C3842377"": [""Chest radiograph"", [""T060""]], ""C0409208"": [""hand arthritis"", [""T047""]], ""C0520946"": [""Hypersensitivity"", [""T033""]], ""C0553794"": [""lumbar puncture"", [""T060""]], ""C0151632"": [""High erythrocyte sedimentation rate"", [""T033""]], ""C5453005"": [""Not elevated"", [""T033""]], ""C1546848"": [""Institution"", [""T033""]], ""C3842337"": [""0 days"", [""T033""]], ""C0233256"": [""Malpresentation"", [""T033""]], ""C1856555"": [""No splenomegaly"", [""T033""]], ""C0000735"": [""tumor abdominal"", [""T191""]], ""C1455884"": [""Elev C-reactive protein"", [""T033""]], ""C5238767"": [""No involvement"", [""T033""]], ""C4085555"": [""Extremely"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C3843399"": [""1-4 months"", [""T033""]], ""C1956391"": [""temporal arteritis"", [""T047""]], ""C5453114"": [""Not documented"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C1550488"": [""referrer"", [""T033""]], ""C5400982"": [""Systemic"", [""T061""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C0018609"": [""h disease"", [""T047""]], ""C0029166"": [""manifestations oral"", [""T184""]], ""C0189024"": [""nasendoscopy"", [""T060""]]}"
54	30651958	An unusual cause of intestinal failure.	81.35072	"{""C0011906"": [""differential diagnosis"", [""T060""]], ""C0232495"": [""lower abdominal pain"", [""T184""]], ""C0037054"": [""sickle cell trait"", [""T047""]], ""C0412620"": [""CT of abdomen"", [""T060""]], ""C0262926"": [""medical history"", [""T033""]], ""C0333243"": [""pitting oedema"", [""T184""]], ""C2712122"": [""normotensive"", [""T033""]], ""C0162429"": [""malnourished"", [""T047""]], ""C3827868"": [""tachycardia"", [""T033""]], ""C0009378"": [""Colonoscopy"", [""T060""]], ""C0041582"": [""ulcerated"", [""T046""]], ""C0013604"": [""oedematous"", [""T046""]], ""C1546399"": [""emergency"", [""T033""]], ""C0011991"": [""diarrhoea"", [""T184""]], ""C0456909"": [""blindness"", [""T047""]], ""C0700124"": [""distended"", [""T033""]], ""C0205400"": [""thickened"", [""T033""]], ""C0042963"": [""vomiting"", [""T184""]], ""C0011849"": [""diabetes"", [""T047""]], ""C0277797"": [""afebrile"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0005558"": [""biopsies"", [""T060""]], ""C0262512"": [""history"", [""T033""]], ""C0178913"": [""Blood"", [""T031""]], ""C0229671"": [""serum"", [""T031""]], ""C0015733"": [""Stool"", [""T031""]], ""C0024202"": [""lymph"", [""T031""]], ""C0041296"": [""tuberculosis (TB)"", [""T047""]], ""C0014245"": [""Endoscopic"", [""T060""]], ""C0455405"": [""Hypertension"", [""T033""]], ""C0018188"": [""Granulomata"", [""T046""]], ""C2347026"": [""sample"", [""T031""]], ""C2911690"": [""Controlled"", [""T033""]], ""C0442743"": [""noninflammatory"", [""T033""]], ""C2048011"": [""Raised immunoglobulin levels"", [""T033""]], ""C3845885"": [""Inexperience"", [""T033""]], ""C0424630"": [""loss of body fat"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C5238873"": [""Steroids"", [""T033""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C0687725"": [""alcoholic"", [""T101""]], ""C0020710"": [""Uteroscopy"", [""T060""]]}"
55	30985682	"Acute pancreatitis with abdominal bloating and distension, normal lipase and amylase: A case report."	81.33384	"{""C1290884"": [""inflammatory disorder"", [""T047""]], ""C0740433"": [""epigastric tenderness"", [""T184""]], ""C0000731"": [""Abdominal bloating"", [""T033""]], ""C2348813"": [""abdominal ultrasound"", [""T060""]], ""C0001339"": [""acute pancreatitis"", [""T047""]], ""C0011923"": [""Diagnostic imaging"", [""T060""]], ""C0412620"": [""CT of abdomen"", [""T060""]], ""C0021153"": [""decompression"", [""T061""]], ""C0034997"": [""rehydration"", [""T061""]], ""C0040405"": [""CT scan"", [""T060""]], ""C0521158"": [""recurrence"", [""T191""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0231881"": [""resonance"", [""T033""]], ""C0439775"": [""elevation"", [""T061""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0030705"": [""patient"", [""T101""]], ""C0442726"": [""detected"", [""T033""]], ""C0392148"": [""presence"", [""T061""]], ""C4035626"": [""3 times"", [""T033""]], ""C0079595"": [""imaging"", [""T060""]], ""C0262512"": [""history"", [""T033""]], ""C0038999"": [""bulging"", [""T033""]], ""C0015663"": [""fasting"", [""T033""]], ""C0003962"": [""ascites"", [""T047""]], ""C0221198"": [""lesion"", [""T033""]], ""C0229671"": [""serum"", [""T031""]], ""C0013604"": [""edema"", [""T046""]], ""C1258215"": [""ileus"", [""T047""]], ""C0030193"": [""pain"", [""T184""]], ""C0600083"": [""discharge"", [""T031""]], ""C0087111"": [""treatments"", [""T061""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C3843498"": [""A moderate amount"", [""T033""]], ""C0018944"": [""hematomas"", [""T046""]], ""C0037661"": [""somatostatinoma"", [""T191""]], ""C0037088"": [""finding"", [""T184""]], ""C1963198"": [""Pancreatitis"", [""T033""]], ""C0030296"": [""pancreatic fluid"", [""T031""]], ""C3843156"": [""Less often"", [""T033""]], ""C3714614"": [""Distension"", [""T033""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C3809765"": [""No abnormality"", [""T033""]], ""C3890554"": [""Inactivity"", [""T033""]], ""C0449900"": [""contrasted"", [""T060""]], ""C0203463"": [""Lung ultrasonography"", [""T060""]], ""C0150312"": [""present"", [""T033""]], ""C0030286"": [""Pancreas"", [""T047""]], ""C0332155"": [""untreated"", [""T033""]], ""C4533677"": [""at admission"", [""T033""]]}"
56	16167780	[A case of esophageal tuberculosis which developed during the treatment for tuberculous lymphadenitis].	81.31639	"{""C0858195"": [""Mycobacterium tuberculosis"", [""T047""]], ""C0041316"": [""tuberculous lymphadenitis"", [""T047""]], ""C0235592"": [""cervical lymphadenopathy"", [""T047""]], ""C4282165"": [""lymph node swelling"", [""T184""]], ""C0332448"": [""infiltration"", [""T046""]], ""C0392920"": [""chemotherapy"", [""T061""]], ""C0041296"": [""tuberculous"", [""T047""]], ""C0040405"": [""tomography"", [""T060""]], ""C0008031"": [""chest pain"", [""T184""]], ""C0041582"": [""ulceration"", [""T046""]], ""C0018188"": [""granulomas"", [""T046""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0016169"": [""fistulas"", [""T190""]], ""C2347026"": [""specimen"", [""T031""]], ""C0038999"": [""swollen"", [""T033""]], ""C0221198"": [""lesions"", [""T033""]], ""C0038056"": [""sputum"", [""T031""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0024202"": [""lymph"", [""T031""]], ""C0043299"": [""X-ray"", [""T060""]], ""C0017547"": [""giant"", [""T047""]], ""C1578513"": [""new"", [""T033""]], ""C0087111"": [""treatments"", [""T061""]], ""C4527217"": [""Infiltrative"", [""T033""]], ""C1550043"": [""Identified"", [""T033""]], ""C1550647"": [""Leukocytes"", [""T031""]], ""C0423899"": [""bright"", [""T033""]], ""C0176725"": [""Esophagoscopy NEC"", [""T060""]], ""C0041322"": [""eye tuberculosis"", [""T047""]], ""C0018609"": [""h disease"", [""T047""]]}"
57	22043264	Case Review of Sarcoidosis Resembling Sjogren's Syndrome.	81.29637	"{""C0341047"": [""parotid gland enlargement"", [""T047""]], ""C0235592"": [""cervical lymphadenopathy"", [""T047""]], ""C0333418"": [""non-caseating granuloma"", [""T046""]], ""C0542518"": [""enlarged kidneys"", [""T033""]], ""C0424823"": [""parotid swelling"", [""T033""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0239574"": [""low grade fever"", [""T033""]], ""C0036202"": [""Sarcoidosis"", [""T047""]], ""C0040405"": [""tomography"", [""T060""]], ""C0497156"": [""adenopathy"", [""T047""]], ""C0268800"": [""renal cyst"", [""T047""]], ""C4551656"": [""reduction"", [""T061""]], ""C0018188"": [""Granuloma"", [""T046""]], ""C0042963"": [""vomiting"", [""T184""]], ""C0314719"": [""dry eyes"", [""T184""]], ""C1509143"": [""Physical"", [""T033""]], ""C0030705"": [""Patient"", [""T101""]], ""C0015230"": [""rashes"", [""T184""]], ""C0002871"": [""anemia"", [""T047""]], ""C0178913"": [""Blood"", [""T031""]], ""C0024202"": [""lymph"", [""T031""]], ""C0151632"": [""High erythrocyte sedimentation rate"", [""T033""]], ""C0272167"": [""Aleukocytosis"", [""T047""]], ""C0014457"": [""eosinophilias"", [""T047""]], ""C0424641"": [""height loss"", [""T033""]], ""C0042384"": [""vasculitis"", [""T047""]], ""C1856554"": [""No hepatomegaly"", [""T033""]], ""C1455884"": [""Elev C-reactive protein"", [""T033""]], ""C4553898"": [""Dry mouth"", [""T033""]], ""C0687152"": [""coughs"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]]}"
58	29441284	Infected renal hematoma in a healthy adolescent with no renal structural anomaly.	81.284134	"{""C0848377"": [""abdominal trauma"", [""T037""]], ""C0475022"": [""renal hematoma"", [""T046""]], ""C0151465"": [""renal abscess"", [""T020""]], ""C0240173"": [""left shift"", [""T033""]], ""C0040405"": [""tomography"", [""T060""]], ""C0000833"": [""abscesses"", [""T047""]], ""C0750484"": [""confirmed"", [""T033""]], ""C0439663"": [""infected"", [""T033""]], ""C0042963"": [""vomiting"", [""T184""]], ""C4283785"": [""Complete"", [""T033""]], ""C0277797"": [""afebrile"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0079595"": [""imaging"", [""T060""]], ""C0030705"": [""patient"", [""T101""]], ""C0221423"": [""illness"", [""T184""]], ""C0027497"": [""nausea"", [""T184""]], ""C0332148"": [""likely"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0005768"": [""blood"", [""T031""]], ""C0042036"": [""urine"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0577559"": [""mass"", [""T033""]], ""C0441633"": [""scan"", [""T060""]], ""C0042029"": [""urinary tract infections"", [""T047""]], ""C4551596"": [""Renal structural anomalies"", [""T190""]], ""C0272167"": [""Aleukocytosis"", [""T047""]], ""C0041618"": [""ultrasounds"", [""T060""]], ""C0600083"": [""discharge"", [""T031""]], ""C3714514"": [""infections"", [""T046""]], ""C0442797"": [""decreased"", [""T033""]], ""C0037088"": [""finding"", [""T184""]], ""C0184511"": [""improved"", [""T033""]], ""C1444662"": [""Discontinued"", [""T033""]], ""C0686744"": [""healthy child"", [""T033""]], ""C4722602"": [""Underlying"", [""T033""]], ""C0442743"": [""noninflammatory"", [""T033""]], ""C1320463"": [""weight kidney"", [""T033""]], ""C1277077"": [""Irradiated"", [""T031""]], ""C0449900"": [""contrasted"", [""T060""]], ""C0423899"": [""bright"", [""T033""]], ""C0749920"": [""normal urinalysis"", [""T033""]], ""C0150312"": [""present"", [""T033""]]}"
59	15211875	[Tuberculous lymphadenitis: a clinical study of 23 cases].	81.24828	"{""C0041316"": [""tuberculous lymphadenitis"", [""T047""]], ""C0011906"": [""differential diagnosis"", [""T060""]], ""C0041290"": [""tuberculin skin test"", [""T060""]], ""C2243017"": [""needle aspiration"", [""T061""]], ""C1253943"": [""pleural effusion"", [""T031""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0742176"": [""cervical mass"", [""T047""]], ""C0678236"": [""rare disease"", [""T047""]], ""C0392920"": [""chemotherapy"", [""T061""]], ""C0041296"": [""tuberculous"", [""T047""]], ""C5441521"": [""complaints"", [""T184""]], ""C0040405"": [""tomography"", [""T060""]], ""C0332218"": [""difficult"", [""T033""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0037296"": [""skin test"", [""T060""]], ""C0012634"": [""diseases"", [""T047""]], ""C0030705"": [""patient"", [""T101""]], ""C1446409"": [""positive"", [""T033""]], ""C0442726"": [""detected"", [""T033""]], ""C0332128"": [""examined"", [""T033""]], ""C0221198"": [""lesions"", [""T033""]], ""C0079595"": [""imaging"", [""T060""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0038056"": [""sputum"", [""T031""]], ""C1518681"": [""effect"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0024202"": [""lymph"", [""T031""]], ""C0087111"": [""therapeutics"", [""T061""]], ""C0277556"": [""relapse"", [""T047""]], ""C0424530"": [""absences"", [""T033""]], ""C0679362"": [""Extrapulmonary tuberculosis"", [""T047""]], ""C2347026"": [""sample"", [""T031""]], ""C1519787"": [""Undifferentiated"", [""T191""]], ""C5238767"": [""No involvement"", [""T033""]], ""C3844714"": [""No improvement"", [""T033""]], ""C0449900"": [""contrasted"", [""T060""]], ""C0332534"": [""Induration"", [""T046""]], ""C0858195"": [""MAC lymphadenitis"", [""T047""]], ""C3845885"": [""Inexperience"", [""T033""]], ""C0041322"": [""eye tuberculosis"", [""T047""]]}"
60	27888235	Rare cause of abdominal pain and fever in a pregnant woman.	81.1573	"{""C0427564"": [""normal platelet count"", [""T033""]], ""C2348813"": [""Abdominal ultrasound"", [""T060""]], ""C0007876"": [""caesarean section"", [""T061""]], ""C0858307"": [""bilirubin normal"", [""T033""]], ""C0476474"": [""persistent fever"", [""T046""]], ""C0005893"": [""body mass index"", [""T060""]], ""C1272641"": [""blood pressure"", [""T033""]], ""C0008350"": [""cholelithiasis"", [""T047""]], ""C0000727"": [""acute abdomen"", [""T184""]], ""C0032914"": [""pre-eclampsia"", [""T046""]], ""C0577059"": [""normal liver"", [""T033""]], ""C0031150"": [""Celioscopy"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C0036429"": [""sclerosis"", [""T046""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0549206"": [""pregnant"", [""T033""]], ""C4551529"": [""dialysis"", [""T061""]], ""C0205160"": [""negative"", [""T033""]], ""C1457868"": [""worsened"", [""T033""]], ""C0231528"": [""myalgia"", [""T184""]], ""C0030705"": [""patient"", [""T101""]], ""C0554756"": [""Doppler"", [""T060""]], ""C2674459"": [""Limited"", [""T033""]], ""C0027497"": [""nausea"", [""T184""]], ""C0028754"": [""obese"", [""T047""]], ""C0015967"": [""fever"", [""T184""]], ""C0178913"": [""Blood"", [""T031""]], ""C0042036"": [""urine"", [""T031""]], ""C0015230"": [""spots"", [""T184""]], ""C1561557"": [""Group"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0020676"": [""hypothyroidisms"", [""T047""]], ""C0011900"": [""Diagnostic"", [""T060""]], ""C0041618"": [""ultrasounds"", [""T060""]], ""C0238547"": [""Abdominal guarding"", [""T033""]], ""C0087111"": [""treatments"", [""T061""]], ""C0020621"": [""deficiency k"", [""T033""]], ""C0233492"": [""elated"", [""T033""]], ""C0042251"": [""vagina"", [""T047""]], ""C1856288"": [""No hyperuricemia"", [""T033""]], ""C3809765"": [""No abnormalities"", [""T033""]], ""C0235299"": [""right upper quadrant pain"", [""T184""]], ""C1856554"": [""No hepatomegaly"", [""T033""]], ""C1856555"": [""No splenomegaly"", [""T033""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C0153452"": [""gallbladder ca"", [""T191""]], ""C0860901"": [""Low total protein"", [""T033""]], ""C3665444"": [""neutrophilia"", [""T047""]], ""C3242263"": [""no permission"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C0332155"": [""untreated"", [""T033""]], ""C4534364"": [""Undecided"", [""T033""]], ""C1709863"": [""Recovered"", [""T033""]], ""C4533677"": [""at admission"", [""T033""]], ""C0151576"": [""increased ck"", [""T033""]]}"
61	26255008	[Clinical analysis of the first patient with imported Middle East respiratory syndrome in China].	81.146255	"{""C0428646"": [""oxygen concentration"", [""T033""]], ""C0037090"": [""respiratory symptoms"", [""T184""]], ""C1253943"": [""pleural effusion"", [""T031""]], ""C0277786"": [""chief complaint"", [""T033""]], ""C1550661"": [""stool specimen"", [""T031""]], ""C0242656"": [""disease course"", [""T046""]], ""C5400667"": [""nucleic acid"", [""T031""]], ""C0332448"": [""infiltration"", [""T046""]], ""C0031350"": [""sore throat"", [""T047""]], ""C0439056"": [""throat swab"", [""T031""]], ""C0858640"": [""moist rales"", [""T184""]], ""C0087111"": [""treatments"", [""T061""]], ""C0199176"": [""Prevention"", [""T061""]], ""C0008031"": [""chest pain"", [""T184""]], ""C1299586"": [""difficulty"", [""T033""]], ""C0030987"": [""percussion"", [""T060""]], ""C0743973"": [""high fever"", [""T033""]], ""C5441521"": [""complaint"", [""T184""]], ""C0004604"": [""back ache"", [""T184""]], ""C0600083"": [""discharge"", [""T031""]], ""C1551396"": [""Critical"", [""T033""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C0274281"": [""exposure"", [""T037""]], ""C1446409"": [""positive"", [""T033""]], ""C0541911"": [""dullness"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0678034"": [""Negative"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0012634"": [""Disease"", [""T047""]], ""C0262512"": [""history"", [""T033""]], ""C0080194"": [""strains"", [""T037""]], ""C0683278"": [""suffer"", [""T048""]], ""C0085593"": [""chills"", [""T184""]], ""C3810851"": [""Center"", [""T033""]], ""C0038056"": [""sputum"", [""T031""]], ""C0225386"": [""Breath"", [""T031""]], ""C0541749"": [""turned"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0229671"": [""serum"", [""T031""]], ""C0015733"": [""stool"", [""T031""]], ""C0005768"": [""blood"", [""T031""]], ""C0043299"": [""X-ray"", [""T060""]], ""C0030193"": [""pain"", [""T184""]], ""C1273517"": [""used"", [""T033""]], ""C4722210"": [""Mild"", [""T033""]], ""C3714552"": [""weak"", [""T184""]], ""C5243901"": [""Symptomatic treatment"", [""T061""]], ""C3714514"": [""infections"", [""T046""]], ""C2347026"": [""specimen"", [""T031""]], ""C0039082"": [""syndromes"", [""T047""]], ""C3257980"": [""Other symptoms"", [""T184""]], ""C5204404"": [""A small amount"", [""T033""]], ""C0425442"": [""Respiratory"", [""T033""]], ""C0206750"": [""Coronavirus"", [""T047""]], ""C3842337"": [""0 days"", [""T033""]], ""C0020672"": [""low body temperature"", [""T033""]], ""C1545588"": [""Protection"", [""T033""]], ""C4319730"": [""Completely"", [""T033""]], ""C0743330"": [""shortness of breath rest"", [""T033""]], ""C0035648"": [""risk characteristics"", [""T033""]], ""C1511790"": [""Detection"", [""T061""]], ""C4554548"": [""Clearance"", [""T061""]], ""C0239313"": [""exertional"", [""T184""]], ""C1549114"": [""Unreported"", [""T033""]], ""C0687152"": [""coughs"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C3665444"": [""neutrophilia"", [""T047""]], ""C0341906"": [""disproportion"", [""T190""]], ""C4288021"": [""Very short of breath"", [""T033""]], ""C0231530"": [""twitched"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C0442739"": [""unchanged"", [""T033""]], ""C0029166"": [""manifestations oral"", [""T184""]], ""C4533677"": [""at admission"", [""T033""]], ""C0151576"": [""increased ck"", [""T033""]]}"
62	28410698	Spontaneous chylothorax revealing a mediastinal and abdominal lymph node tuberculosis.	81.12648	"{""C0588058"": [""abdominal lymph nodes"", [""T023""]], ""C1253943"": [""pleural effusion"", [""T031""]], ""C0008733"": [""chylothorax"", [""T047""]], ""C0025066"": [""mediastinal"", [""T029""]], ""C0024204"": [""lymph nodes"", [""T023""]], ""C0008031"": [""chest pain"", [""T184""]], ""C0040405"": [""tomography"", [""T060""]], ""C3244316"": [""medication"", [""T170""]], ""C0000726"": [""abdominal"", [""T029""]], ""C1704324"": [""Published"", [""T170""]], ""C0184666"": [""admitted"", [""T058""]], ""C0184511"": [""improved"", [""T033""]], ""C0013404"": [""dyspnea"", [""T184""]], ""C0700287"": [""report"", [""T058""]], ""C1546569"": [""Biopsy"", [""T170""]], ""C0015967"": [""fever"", [""T184""]], ""C1527391"": [""Chest"", [""T029""]], ""C1561543"": [""year"", [""T170""]], ""C5419890"": [""Completely resolved"", [""T033""]], ""C0009993"": [""Copyrights"", [""T170""]], ""C0181792"": [""mediastinoscope"", [""T074""]], ""C0034770"": [""Recollection"", [""T041""]], ""C0015411"": [""eye manifestation"", [""T184""]], ""C0041296"": [""tuberculosis"", [""T047""]], ""C0003448"": [""antituberculosis"", [""T121""]], ""C1441526"": [""Computed"", [""T059""]], ""C1555324"": [""Inpatient"", [""T058""]], ""C0332155"": [""untreated"", [""T033""]]}"
63	29901573	Acute scoliosis as an unusual presentation of pneumonia: A case report.	81.02137	"{""C0585105"": [""right lower lobe pneumonia"", [""T047""]], ""C0264550"": [""parapneumonic effusion"", [""T047""]], ""C0037090"": [""respiratory symptoms"", [""T184""]], ""C2348813"": [""abdominal ultrasound"", [""T060""]], ""C0476273"": [""respiratory distress"", [""T184""]], ""C1253943"": [""pleural effusion"", [""T031""]], ""C0039985"": [""Chest x-ray"", [""T060""]], ""C1306645"": [""radiographs"", [""T060""]], ""C0234233"": [""tenderness"", [""T184""]], ""C0036439"": [""scoliosis"", [""T047""]], ""C1546399"": [""emergency"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0015967"": [""fevers"", [""T184""]], ""C0005768"": [""blood"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0441633"": [""scan"", [""T060""]], ""C3714636"": [""pneumonias"", [""T047""]], ""C0087111"": [""treatments"", [""T061""]], ""C0728827"": [""transfers"", [""T033""]], ""C0040405"": [""computed tomography"", [""T060""]], ""C0037088"": [""finding"", [""T184""]], ""C0741302"": [""Atypical"", [""T033""]], ""C1964257"": [""Observation"", [""T060""]], ""C0425442"": [""Respiratory"", [""T033""]], ""C1518681"": [""effect"", [""T033""]], ""C0233256"": [""Malpresentation"", [""T033""]], ""C3151684"": [""No development"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0423899"": [""bright"", [""T033""]], ""C0558507"": [""anal examination"", [""T060""]], ""C0150312"": [""present"", [""T033""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C5400982"": [""Systemic"", [""T061""]], ""C0018609"": [""h disease"", [""T047""]]}"
64	30225154	Meningococcal Pneumonia in a Young Healthy Male.	80.57321	"{""C0008033"": [""pleuritic chest pain"", [""T184""]], ""C0231873"": [""bronchial breathing"", [""T033""]], ""C1272641"": [""blood pressure"", [""T033""]], ""C0019079"": [""haemoptysis"", [""T184""]], ""C0039985"": [""Chest X-ray"", [""T060""]], ""C0029921"": [""outpatient"", [""T101""]], ""C1546399"": [""emergency"", [""T033""]], ""C1509143"": [""Physical"", [""T033""]], ""C1446409"": [""positive"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0015967"": [""fever"", [""T184""]], ""C0034642"": [""rales"", [""T033""]], ""C0005768"": [""blood"", [""T031""]], ""C0600083"": [""discharge"", [""T031""]], ""C3714636"": [""pneumonias"", [""T047""]], ""C0521530"": [""Consolidation"", [""T047""]], ""C0425442"": [""Respiratory"", [""T033""]], ""C0746961"": [""Desaturation"", [""T033""]], ""C0020672"": [""low body temperature"", [""T033""]], ""C1535950"": [""GI inflammation"", [""T047""]], ""C0856882"": [""elevated k"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C0729829"": [""urates"", [""T033""]], ""C3845990"": [""No heart rate"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C4533677"": [""at admission"", [""T033""]], ""C1444662"": [""Discontinued"", [""T033""]], ""C4698086"": [""No Neisseria meningitidis isolated"", [""T033""]]}"
65	33036113	A 21-Year-Old Immunocompetent Man With Hemoptysis and Rash.	80.306015	"{""C0497365"": [""generalized rash"", [""T033""]], ""C0239134"": [""productive cough"", [""T033""]], ""C0027424"": [""nasal congestion"", [""T184""]], ""C0015672"": [""extreme fatigue"", [""T184""]], ""C0241028"": [""sexually active"", [""T033""]], ""C0031350"": [""sore throat"", [""T047""]], ""C0085636"": [""photophobia"", [""T184""]], ""C0019079"": [""hemoptysis"", [""T184""]], ""C0008031"": [""chest pain"", [""T184""]], ""C1260880"": [""rhinorrhea"", [""T184""]], ""C0687725"": [""alcoholic"", [""T101""]], ""C0038990"": [""sweating"", [""T033""]], ""C0010200"": [""coughing"", [""T184""]], ""C0013456"": [""ear pain"", [""T184""]], ""C0042963"": [""vomiting"", [""T184""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C0030705"": [""patient"", [""T101""]], ""C0262512"": [""history"", [""T033""]], ""C0013428"": [""dysuria"", [""T184""]], ""C0682187"": [""College"", [""T033""]], ""C0085593"": [""chills"", [""T184""]], ""C0038056"": [""sputum"", [""T031""]], ""C0087136"": [""single"", [""T033""]], ""C0027497"": [""nausea"", [""T184""]], ""C0015967"": [""fever"", [""T184""]], ""C0005768"": [""blood"", [""T031""]], ""C0595998"": [""lives"", [""T033""]], ""C0439044"": [""alone"", [""T033""]], ""C0015230"": [""rash"", [""T184""]], ""C0030193"": [""pain"", [""T184""]], ""C1306232"": [""severed"", [""T061""]], ""C4707386"": [""Asexual"", [""T033""]], ""C0743330"": [""shortness of breath rest"", [""T033""]], ""C3845885"": [""Inexperience"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C0024809"": [""Cannabis"", [""T048""]], ""C4533677"": [""at admission"", [""T033""]]}"
